Order | Job | Op | Time(s)
  614 |  21 | 22 | 0.00000000
  615 |   3 | 22 | 0.00000000
  616 |   8 | 24 | 0.00000000
  617 |  18 | 23 | 0.00000000
  618 |  16 | 22 | 0.00000000
  619 |   3 | 23 | 0.00000000
  620 |  21 | 23 | 0.00000000
  621 |   3 | 24 | 0.00000000
  622 |  16 | 23 | 0.00000000
  623 |  21 | 24 | 0.00000000
  624 |  16 | 24 | 0.00000000
  625 |  18 | 24 | 0.00000000
  626 |   0 |  0 | 0.00000000
  627 |   1 |  0 | 0.00000000
  628 |   2 |  0 | 0.00000000
  629 |   3 |  0 | 0.00000000
  630 |   4 |  0 | 0.00000000
  631 |   5 |  0 | 0.00000000
  632 |   6 |  0 | 0.00000000
  633 |   7 |  0 | 0.00000000
  634 |   8 |  0 | 0.00000000
  635 |   9 |  0 | 0.00000000
  636 |  10 |  0 | 0.00000000
  637 |  11 |  0 | 0.00000000
  638 |  12 |  0 | 0.00000000
  639 |  13 |  0 | 0.00000000
  640 |  14 |  0 | 0.00000000
  641 |  15 |  0 | 0.00000000
  642 |  16 |  0 | 0.00000000
  643 |  17 |  0 | 0.00000000
  644 |  18 |  0 | 0.00000000
  645 |  19 |  0 | 0.00000000
  646 |  20 |  0 | 0.00000000
  647 |  21 |  0 | 0.00000000
  648 |  22 |  0 | 0.00000000
  649 |  23 |  0 | 0.00000000
  650 |  24 |  0 | 0.00000000
  651 |   6 |  1 | 0.00000000
  652 |  13 |  1 | 0.00000000
  653 |  19 |  1 | 0.00000000
  654 |  11 |  1 | 0.00000000
  655 |   2 |  1 | 0.00000000
  656 |   4 |  1 | 0.00000000
  657 |  10 |  1 | 0.00000000
  658 |  18 |  1 | 0.00000000
  659 |  22 |  1 | 0.00000000
  660 |  11 |  2 | 0.00000000
  661 |   3 |  1 | 0.00000000
  662 |  19 |  2 | 0.00000000
  663 |  20 |  1 | 0.00000000
  664 |   0 |  1 | 0.00000000
  665 |   1 |  1 | 0.00000000
  666 |  12 |  1 | 0.00000000
  667 |  24 |  1 | 0.00000000
  668 |   9 |  1 | 0.00000000
  669 |  17 |  1 | 0.00000000
  670 |   5 |  1 | 0.00000000
  671 |   7 |  1 | 0.00000000
  672 |  11 |  3 | 0.00000000
  673 |  13 |  2 | 0.00100000
  674 |  14 |  1 | 0.00000000
  675 |  19 |  3 | 0.00000000
  676 |  22 |  2 | 0.00000000
  677 |   4 |  2 | 0.00000000
  678 |   5 |  2 | 0.00000000
  679 |  16 |  1 | 0.00000000
  680 |  17 |  2 | 0.00000000
  681 |  18 |  2 | 0.00000000
  682 |   1 |  2 | 0.00000000
  683 |  19 |  4 | 0.00000000
  684 |  24 |  2 | 0.00000000
  685 |   7 |  2 | 0.00000000
  686 |  10 |  2 | 0.00000000
  687 |  12 |  2 | 0.00000000
  688 |  14 |  2 | 0.00000000
  689 |   5 |  3 | 0.00000000
  690 |   8 |  1 | 0.00000000
  691 |  10 |  3 | 0.00000000
  692 |  18 |  3 | 0.00000000
  693 |  22 |  3 | 0.00000000
  694 |   9 |  2 | 0.00000000
  695 |  15 |  1 | 0.00000000
  696 |  23 |  1 | 0.00000000
  697 |   1 |  3 | 0.00000000
  698 |   3 |  2 | 0.00000000
  699 |  10 |  4 | 0.00000000
  700 |   9 |  3 | 0.00000000
  701 |  15 |  2 | 0.00000000
  702 |  16 |  2 | 0.00000000
  703 |  24 |  3 | 0.00000000
  704 |   1 |  4 | 0.00000000
  705 |   6 |  2 | 0.00000000
  706 |   8 |  2 | 0.00000000
  707 |   4 |  3 | 0.00000000
  708 |  19 |  5 | 0.00000000
  709 |  20 |  2 | 0.00000000
  710 |  23 |  2 | 0.00000000
  711 |  11 |  4 | 0.00000000
  712 |  12 |  3 | 0.00000000
  713 |  21 |  1 | 0.00000000
  714 |   9 |  4 | 0.00000000
  715 |  22 |  4 | 0.00000000
  716 |  13 |  3 | 0.00000000
  717 |  15 |  3 | 0.00000000
  718 |  13 |  4 | 0.00000000
  719 |  24 |  4 | 0.00000000
  720 |   5 |  4 | 0.00000000
  721 |   9 |  5 | 0.00000000
  722 |  10 |  5 | 0.00000000
  723 |  11 |  5 | 0.00000000
  724 |  16 |  3 | 0.00000000
  725 |  19 |  6 | 0.00000000
  726 |   2 |  2 | 0.00000000
  727 |   3 |  3 | 0.00000000
  728 |  19 |  7 | 0.00000000
  729 |  20 |  3 | 0.00000000
  730 |  17 |  3 | 0.00000000
  731 |  22 |  5 | 0.00000000
  732 |   1 |  5 | 0.00000000
